key	locations	english	my	th	zh	km	lo	fr	de	es
UI_0001	app/layout.tsx:10	Joe Yoke | Social Gaming Hub								
UI_0002	app/layout.tsx:11	Play HTML5 games and chat with friends.								
UI_0003	app/layout.tsx:15 | app/page.tsx:593	Joe Yoke								
UI_0004	app/leaderboard/page.tsx:117	← Back								
UI_0005	app/leaderboard/page.tsx:118	Global Leaderboard								
UI_0006	app/leaderboard/page.tsx:119	Top 50 players by XP								
UI_0007	app/leaderboard/page.tsx:131 | app/leaderboard/page.tsx:148	Profile ranking								
UI_0008	app/leaderboard/page.tsx:131 | app/leaderboard/page.tsx:148 | components/games/MiniFighter.tsx:67 | components/games/MiniFighter.tsx:72	YOU								
UI_0009	app/leaderboard/page.tsx:132 | app/leaderboard/page.tsx:148	Share my rank								
UI_0010	app/leaderboard/page.tsx:132 | app/leaderboard/page.tsx:148 | components/ChatTab.tsx:1067	View profile								
UI_0011	app/leaderboard/page.tsx:132 | app/leaderboard/page.tsx:148	XP								
UI_0012	app/leaderboard/page.tsx:134	Loading leaderboard…								
UI_0013	app/leaderboard/page.tsx:136	Loading 10 more players…								
UI_0014	app/leaderboard/page.tsx:146	1st place								
UI_0015	app/leaderboard/page.tsx:146	2nd place								
UI_0016	app/leaderboard/page.tsx:146	3rd place								
UI_0017	app/leaderboard/page.tsx:60	${Number(player.xp || 0).toLocaleString()} XP								
UI_0018	app/leaderboard/page.tsx:60	${player.username} is climbing the Joe Yoke leaderboard								
UI_0019	app/leaderboard/page.tsx:60	Global leaderboard								
UI_0020	app/leaderboard/page.tsx:60	Global Rank #${rank}								
UI_0021	app/leaderboard/page.tsx:61 | app/tournaments/[id]/page.tsx:153	Rank card downloaded and text copied.								
UI_0022	app/leaderboard/page.tsx:61	Rank card shared.								
UI_0023	app/leaderboard/page.tsx:61 | app/tournaments/[id]/page.tsx:153 | components/HomeTab.tsx:333 | components/RecentMatches.tsx:39	shared								
UI_0024	app/page.tsx:107	Sign in to join Shan Koe Mee matchmaking.								
UI_0025	app/page.tsx:126	Sign in to join Monopoly matchmaking.								
UI_0026	app/page.tsx:51	Loading								
UI_0027	app/page.tsx:573	is still open								
UI_0028	app/page.tsx:574	Return within								
UI_0029	app/page.tsx:574	s to continue where you left off.								
UI_0030	app/page.tsx:576	Return								
UI_0031	app/page.tsx:577	End game								
UI_0032	app/page.tsx:581 | app/page.tsx:658 | app/page.tsx:701 | app/page.tsx:737 | components/HomeTab.tsx:533	Spin								
UI_0033	app/page.tsx:596	Buy points								
UI_0034	app/page.tsx:607	Buy gems								
UI_0035	app/page.tsx:633	Open notifications								
UI_0036	app/page.tsx:656 | app/page.tsx:687 | app/page.tsx:750	Chats								
UI_0037	app/page.tsx:657 | app/page.tsx:699 | app/page.tsx:749	Store								
UI_0038	app/page.tsx:659 | app/page.tsx:703 | app/page.tsx:751	Profile								
UI_0039	app/page.tsx:663 | app/page.tsx:747	Home								
UI_0040	app/page.tsx:678 | app/page.tsx:748	Explore								
UI_0041	app/page.tsx:750	chats								
UI_0042	app/page.tsx:751	profile								
